,Time,Cases,Death,Recover
88,2021-09-29 16:16:51.070014,233631249.0,4780864.0,210449278.0
89,2021-09-29 16:16:58.137177,233631249.0,4780864.0,210449278.0
90,2021-09-29 16:17:02.625508,233631249.0,4780864.0,210449278.0
91,2021-09-29 16:17:54.249604,233631249.0,4780864.0,210449278.0
92,2021-09-29 16:18:17.729881,233631249.0,4780864.0,210449278.0
93,2021-09-29 16:18:54.195748,233631249.0,4780864.0,210449278.0
94,2021-09-29 16:19:16.403189,233631249.0,4780864.0,210449278.0
95,2021-09-29 16:19:37.486266,233631249.0,4780864.0,210449278.0
96,2021-09-29 16:19:51.696345,233631249.0,4780864.0,210449278.0
97,2021-09-29 16:24:48.864254,233631249.0,4780864.0,210449278.0
98,2021-09-29 16:25:13.741714,233631249.0,4780864.0,210449278.0
99,2021-09-29 16:29:40.274801,233632159.0,4780873.0,210450505.0
100,2021-09-29 16:32:19.517841,233632159.0,4780873.0,210450505.0
101,2021-09-29 16:32:37.724634,233632159.0,4780873.0,210450505.0
102,2021-09-29 16:32:59.809922,233632159.0,4780873.0,210450505.0
103,2021-09-29 16:36:06.310229,233632159.0,4780873.0,210450505.0
104,2021-09-29 16:37:01.157882,233632159.0,4780873.0,210450505.0
